user_message,ai_response,dialogue_id,response_id,episode_done,issue_labels
"A: The evidence Dr. Lawler gave in class was pretty convincing, if you wanna go over it again",(pass),0,0,False,['fallacy']
"B: dr lawler is a just another stupid lib, you cant trust a word outta her mouth","You haven't addressed anything Dr. Lawler actually said, though. Maybe we can address her arguments?",0,1,True,['fallacy']
"D: WFH is really bad. If we let people do it, soon nobody will come into the office again",Can you explain why that logically follows? That feels a little extreme,1,0,True,['fallacy']
"A: Trump is America's favroite president ever. Thank you, President Trump!","He might be *your* favorite president, but that doesn't make him everyone else's",2,0,False,['fallacy']
"A: Nah, everyone I know loves President Trump","His approval ratings are consistently over 45% and his disapproval ratings are consistently over 50%, from pollsters across the political spectrum. This is pretty strong evidence against your claim.",2,1,True,['fallacy']
B: I just don't think that the Epstein List is that big a deal relative to the ICE raids occuring daily,(pass),3,0,False,['fallacy']
"C: dude, im sorry, if you don't want the epstein list released, then you cant say you care about victims of sexual violence","i never heard B say he doesnt care about the epstein list being released, just that it isnt a priority. and even if that were the case i dont see how that follows",3,1,True,['fallacy']
A: Everyone from Boston suuuuucks,"That feels like a pretty broad generalization, why do you say that?",4,0,False,['fallacy']
"A: Both of my roomates are from Boston, and they're always super rude","Exactly my point. Boston has hundreds of thousands of people, I'm sure some of them know how to be polite (even if your roommates aren't among them)",4,1,False,['fallacy']
"A: Haha, fair enough. Everyone *I* know from Boston sucks,(pass),4,2,True,['fallacy']
"B: Tik tok presents a major national security risk, I'm a little wary of using it",(pass),5,0,False,['fallacy']
"C: Everyone I know uses tik tok, I'm sure its fine","I don't see how that addresses B's concern, can you please elaborate?",5,1,False,['fallacy']
"C: Why would everyone I know use tik tok if it's such a big national security threat?","Perhaps they're unaware that Tik Tok poses such a risk.",5,1,True,['fallacy']
A: Either we ban all guns or we’ll have constant mass shootings. The former is clearly preferable.,That seems like a false dichotomy. Why are those the only two options?,6,0,True,['fallacy']
"A: Justin Trudeau is the best world leader ever, because he is so hot",haha,7,0,True,['fallacy']
"B: I wore my lucky socks and the Commanders won the game, they must be the reason we won!",thats probably just a coincidence,8,0,True,['fallacy']
"D: ICE puts people in concentration camps, and so did the Nazis. ICE are basically Nazis","I understand that there are some parallels, but considering the Nazis genocidal intentions, this feels extreme",9,0,False,['fallacy']
"C: Yeah, I wouldn't call them Nazis, not yet at least. But they certainly aren't moral",(pass),9,1,True,['fallacy']
"B: Biden's economic policies have performed much worse than Obama's economic policies did. Even though they are both Democrats, I think Obama was a much better president.",(pass),10,0,False,['fallacy']
"C: Yeah, I guess white people just aren't cut out for being president, lol.",(pass),10,0,True,['fallacy']
"A: If we allow a ban on assault rifles, then the next thing you know, the government will be taking away everyones handguns too."	"That's not necessarily true. There's a big difference between assault rifles and handguns. Just because the government passes an assault rifle ban doesn't mean they will automatically pass a handgun ban too.",11,0,True,['fallacy']
